network,frequency_over_f0,parallel_delta_sigma_abs,perpendicular_delta_sigma_abs,perpendicular_over_parallel,parallel_over_bulk_percent,perpendicular_over_bulk_percent,suppression_factor_parallel_over_perpendicular,electrode_mismatch_max
0,0.1,0.0012202847458448669,6.225741378964324e-05,0.051018759352383106,0.6114529167061002,0.03127812018878926,19.600633427658796,0.0002797622100023878
0,1.0,0.0021929931445159303,9.790158546093586e-05,0.044642905385163044,1.0607305230983417,0.04756854776716396,22.39997579396675,0.0006110512624745335
0,10.0,0.0018125483847345235,6.0267493789288434e-05,0.03325014344271729,0.86541179648939,0.028914267412763824,30.075058224118067,0.0008163998405082626
1,0.1,0.0019450270299650836,5.7873091766895196e-05,0.029754389463643657,0.9724898369332494,0.029081827104749595,33.608486614113914,0.00018426796339568417
1,1.0,0.0037007290470751604,1.5475228755551207e-05,0.004181670302985819,1.7775378095869567,0.007644446680074382,239.13889129087354,0.0004798958473592372
1,10.0,0.0033265424931539223,2.43259649273398e-05,0.007312687265352247,1.5786724155845675,0.01187302354771905,136.7486347649561,0.0005803888255394013
2,0.1,0.0008154227384814023,1.1171380586841466e-05,0.013700109231251536,0.4091046713566503,0.0056098358563022475,72.9921187576289,0.0002628092012231981
2,1.0,0.001486620958498475,5.596380807104672e-06,0.0037644974498120616,0.7193683149408718,0.0027336876308986856,265.6397071141392,0.0007381198915126681
2,10.0,0.0011030012773189679,3.403584542789876e-06,0.00308574850526272,0.5266271873150157,0.0016431450694903923,324.07048023988597,0.0009369130354146774
3,0.1,0.0015209364816154525,6.001044472981708e-05,0.03945624650023346,0.7624349481646624,0.030100882739772756,25.344529414222997,0.00021517049718831582
3,1.0,0.0030167642544815867,3.9051855631454546e-05,0.012944947744405497,1.4665780858729474,0.018729107493456375,77.2502152766261,0.0005712457723086063
3,10.0,0.002922730604746392,3.590854089226311e-05,0.012285956438800465,1.4035721722681163,0.01697950909326795,81.39374455552235,0.0007031289586627115
4,0.1,0.0015681900428578465,5.4149810823485454e-05,0.034530133047397514,0.7834924087299111,0.02722083515195614,28.96021276915898,0.00014861162321960187
4,1.0,0.002163854469043086,5.783725982029421e-05,0.026728812241181538,1.0304211945163173,0.028364580213199386,37.41281097628734,0.0003776208009600922
4,10.0,0.001633428306739822,1.9726075966302443e-05,0.012076487155823778,0.765342225743161,0.00955666145496603,82.80553666781809,0.00044853046710465795
5,0.1,0.0008765946458239197,1.4751036315617829e-05,0.016827659609708417,0.4395907885507752,0.007394503043776499,59.4259702890037,0.00010458212153705254
5,1.0,0.0014274110757372053,2.771059217005945e-06,0.001941318281823472,0.6961234216715539,0.00133466839433903,515.1138838813717,0.00035046737287538576
5,10.0,0.001190985745107826,2.5206706313096373e-07,0.00021164574317230204,0.5735831338283105,0.00011990018392453118,4724.8765083165135,0.00037649052839416766
