frequency_over_f0,angle_deg,relative_signal,share_total_contact_effect_percent
0.1,0.0,1.0,57.364277445067124
0.1,30.0,0.6643288280245854,40.69606311898745
0.1,60.0,0.17344926726234727,10.045390868831984
0.1,90.0,0.008560808556349579,0.45390335682725047
1.0,0.0,1.0,42.468648661506826
1.0,30.0,0.6793563236338777,29.826386944224527
1.0,60.0,0.18823681141914075,8.518202755493672
1.0,90.0,0.005109428777176347,0.23806913835531393
10.0,0.0,1.0,39.32862112533871
10.0,30.0,0.6823215739498866,27.94400456889502
10.0,60.0,0.19199802600015253,8.198651958861689
10.0,90.0,0.004120984475572839,0.18300532842899422
