network,hidden_one_direction,hidden_two_directions
0,2,1
1,2,0
2,3,2
3,5,2
4,1,1
5,1,1
6,2,0
7,2,2
8,2,0
9,3,0
10,1,0
11,2,1
12,4,1
13,1,1
14,1,1
15,4,3
16,5,1
17,2,0
18,0,0
19,1,0
20,1,0
21,3,0
22,2,0
23,2,0
24,2,1
25,3,3
26,2,0
27,2,1
28,2,0
29,5,2
30,5,0
31,4,1
32,5,0
33,5,3
34,1,1
35,0,0
36,4,0
37,2,1
38,4,2
39,0,0
40,2,1
41,1,0
42,3,0
43,3,0
44,2,1
45,2,0
46,4,2
47,5,2
48,2,0
49,4,2
50,3,1
51,3,1
52,1,0
53,3,1
54,2,0
55,3,2
56,3,3
57,2,2
58,3,1
59,8,2
60,1,1
61,5,2
62,2,1
63,1,0
64,4,0
65,2,1
66,1,0
67,3,1
68,2,0
69,0,1
70,2,0
71,0,1
72,1,1
73,2,0
74,6,3
75,1,0
76,6,1
77,4,3
78,3,1
79,1,1
80,3,1
81,2,0
82,2,0
83,1,0
84,2,0
85,2,1
86,4,1
87,6,2
88,1,0
89,1,2
90,0,0
91,5,2
92,4,1
93,1,1
94,3,0
95,3,2
96,4,3
97,3,1
98,2,0
99,1,0
100,3,0
101,2,2
102,1,0
103,3,1
104,5,2
105,1,0
106,3,2
107,2,1
108,1,0
109,3,2
110,2,0
111,2,1
112,4,2
113,2,1
114,2,1
115,2,2
116,2,0
117,5,0
118,1,1
119,3,0
120,2,0
121,6,0
122,4,3
123,1,0
124,2,1
125,3,2
126,4,0
127,2,1
128,5,0
129,1,1
130,2,1
131,1,0
132,2,2
133,2,0
134,5,4
135,1,1
136,2,1
137,3,1
138,8,5
139,3,1
140,4,1
141,1,1
142,5,1
143,1,0
144,2,2
145,3,1
146,4,1
147,0,0
148,1,0
149,2,0
150,2,2
151,4,1
152,2,0
153,3,0
154,5,1
155,2,1
156,3,0
157,2,0
158,6,2
159,3,0
160,0,0
161,5,1
162,2,0
163,1,0
164,2,1
165,2,0
166,2,0
167,4,1
168,3,1
169,4,0
170,5,0
171,5,3
172,2,0
173,1,1
174,1,1
175,3,0
176,3,2
177,2,0
178,1,0
179,2,2
180,2,1
181,1,0
182,2,2
183,3,0
184,1,1
185,5,1
186,6,1
187,4,2
188,3,0
189,0,0
190,4,1
191,1,0
192,1,1
193,1,0
194,0,1
195,6,1
196,2,1
197,2,1
198,1,1
199,3,1
200,0,1
201,3,0
202,2,2
203,3,1
204,2,1
205,1,0
206,2,0
207,2,0
208,1,0
209,3,1
210,0,0
211,2,2
212,4,2
213,3,1
214,5,3
215,4,2
216,2,1
217,3,2
218,2,0
219,0,1
220,3,0
221,1,0
222,1,1
223,4,0
224,1,1
225,2,1
