branch_angle_deg,case_id,frequency_over_f0,sigma_re_S_m,sigma_im_S_m,electrode_mismatch
0.0,disconnected,0.1,0.19861788509685296,0.00039811078085688644,1.04609621151672e-05
0.0,disconnected,1.0,0.200554605193142,0.002342137012821834,2.399481833526781e-05
0.0,disconnected,10.0,0.20328994039708598,0.0005683662317154288,4.0217334524120195e-05
0.0,complete,0.1,0.19949130832045825,0.0025643491782530795,3.9869964954876204e-05
0.0,complete,1.0,0.2066481172479927,0.0037082466149082408,8.006466944696296e-05
0.0,complete,10.0,0.2093319893586093,0.0006459387040223567,0.00011786726857872526
0.0,branch_deleted,0.1,0.1988798723413102,0.0013721446617617945,9.131669023850093e-06
0.0,branch_deleted,1.0,0.20400464781244787,0.0034948450841233557,3.270516850392618e-05
0.0,branch_deleted,10.0,0.20695561277057556,0.0006646662333479864,5.457939190717933e-05
30.0,disconnected,0.1,0.1986318778815401,0.00039380002772348196,7.561154763144452e-05
30.0,disconnected,1.0,0.20054670374346756,0.002321693933477724,0.0001258292153097213
30.0,disconnected,10.0,0.20326586064874277,0.000565478257239709,0.00017255614279027343
30.0,complete,0.1,0.1994243825987035,0.002432369283490398,0.00012392474747573607
30.0,complete,1.0,0.20643411381810267,0.003673560726305133,0.0003394591085338487
30.0,complete,10.0,0.20906814449648448,0.0006339521498257646,0.00041798160380338055
30.0,branch_deleted,0.1,0.19902406882005613,0.001637364904440852,8.120403620257976e-05
30.0,branch_deleted,1.0,0.2046399437320251,0.003509011502013364,0.00019360831465512946
30.0,branch_deleted,10.0,0.20744667845429832,0.0006449536256158495,0.0002644051622636521
60.0,disconnected,0.1,0.19860668797539954,0.00039998011004276134,7.205707686498107e-05
60.0,disconnected,1.0,0.20054850088497972,0.002372940300770852,0.00011762587242020292
60.0,disconnected,10.0,0.20335058389560004,0.000583309134205013,0.00015783770930762636
60.0,complete,0.1,0.19951350413757846,0.0025283126863556516,0.00010346658687774188
60.0,complete,1.0,0.2062977387739115,0.0035099509782967825,0.0003234465369128339
60.0,complete,10.0,0.20891563660121862,0.000627644866167726,0.00038661262038999317
60.0,branch_deleted,0.1,0.19941355449831022,0.0023185075441249058,0.00011924805890073342
60.0,branch_deleted,1.0,0.20580214238246947,0.0034499353670646056,0.0003648435607961733
60.0,branch_deleted,10.0,0.20845936471859008,0.0006289613464937572,0.000429304990872327
90.0,disconnected,0.1,0.19861501485469535,0.0003969638259069128,0.00010785545906777989
90.0,disconnected,1.0,0.2005402731102196,0.0023652375118137954,0.0001844902012018216
90.0,disconnected,10.0,0.2033476185495171,0.000585317791521586,0.00026097053655943953
90.0,complete,0.1,0.1996960807542211,0.0026810655859079574,0.00020680941044407146
90.0,complete,1.0,0.20616477090289448,0.0032383228115781446,0.0004900471935620934
90.0,complete,10.0,0.20869895804808714,0.0006067712614110172,0.0006324756040997284
90.0,branch_deleted,0.1,0.19968933319447957,0.00267179000164844,0.0002091946873225682
90.0,branch_deleted,1.0,0.20615161041640828,0.0032415506950589836,0.0004932869713968429
90.0,branch_deleted,10.0,0.20868917992382607,0.0006073165200937069,0.0006357956888878588
