omega_over_GC,fabric_input,n,anisotropy_median,min_over_max_median,z_over_xy_median
0.1,0.0,32,0.03925845472670715,0.9091782144415762,1.0103828082911843
0.1,0.2,32,0.3644580725535055,0.47111428295458047,2.0351499951402543
0.1,0.4,32,0.7526533250451022,0.22234881267173517,4.407267627511965
0.1,0.6,32,1.0848579172382036,0.08731696137754158,10.879016830623122
1.0,0.0,32,0.03363341684960905,0.9221851756079333,1.0155666660202463
1.0,0.2,32,0.3516789708862783,0.4873824584802977,1.9909536338464573
1.0,0.4,32,0.7066860649899218,0.2437254135898096,3.993391799719903
1.0,0.6,32,1.0001722805135083,0.11726297857087373,8.241559613496147
10.0,0.0,32,0.03337805550327407,0.9261149549748416,1.0056993408230261
10.0,0.2,32,0.29656053505713253,0.5437011878728291,1.7933819994851183
10.0,0.4,32,0.5964038324396627,0.3086963978435141,3.1860317092697388
10.0,0.6,32,0.8696271379010836,0.16532696598007018,5.78988111088821
