p_mean,L,n_nodes,n,anisotropy_q10,anisotropy_median,anisotropy_q90,min_over_max_median,largest_component_median,spanning_probability,neff_fraction_median,top1pct_energy_median
0.18,4,64,32,0.1506955014192425,0.3077399057013308,0.5146136197290911,0.4924900656396803,0.125,0.46875,0.37674408839319773,0.18888192501519646
0.18,6,216,32,0.06220858974580952,0.14962394369558932,0.19949016981494447,0.6988993000207855,0.06018518518518518,0.1875,0.3480118836472179,0.08049947081379898
0.18,8,512,32,0.03256362851360078,0.07820764999154531,0.16293333192346907,0.8322216954850288,0.041015625,0.03125,0.3378743137004183,0.0876310910732678
0.18,10,1000,32,0.02391501105224388,0.05563378839284755,0.08422466949096095,0.8772319051653379,0.026,0.0625,0.33449624296695235,0.08145977878099742
0.18,12,1728,32,0.022091387374223927,0.05003604023278532,0.0667900266929769,0.8888012167720873,0.01880787037037037,0.0,0.33799982087967056,0.07969864145018893
0.18,16,4096,32,0.00551434394112359,0.02760303359991616,0.058881147020355636,0.9352084365010405,0.0101318359375,0.0,0.33784922492431874,0.07821363950006616
0.25,4,64,32,0.07540584333335795,0.19860442835279737,0.35201565915513705,0.6333083506332489,0.21875,0.9375,0.3777167118846654,0.135701470778252
0.25,6,216,32,0.044727542127310026,0.1143795882940023,0.19094881953447923,0.7753489847708965,0.15046296296296297,0.78125,0.35330909166145263,0.09997993087811283
0.25,8,512,32,0.02924337669185969,0.06350006166038633,0.10478117765798649,0.8564557699677089,0.1298828125,0.75,0.3576710633387916,0.08073296356575448
0.25,10,1000,32,0.015664034705780254,0.04545827578054659,0.09961454164557318,0.8990544460531592,0.107,0.65625,0.35181524659235214,0.07669655119119329
0.25,12,1728,32,0.011497047629628283,0.041452386406862926,0.06977325217886994,0.9076888927172565,0.09577546296296297,0.65625,0.34937675695782777,0.07746117744182157
0.25,16,4096,32,0.009725743390224716,0.028564183689624358,0.04456784547516347,0.9371523715605783,0.084228515625,0.625,0.35139229799558513,0.07563155964349096
0.32,4,64,32,0.04454277324068664,0.2201246061461528,0.3270051390343949,0.5867984054909192,0.4765625,1.0,0.38953625801186487,0.11693990773395142
0.32,6,216,32,0.034302164169989706,0.09627739085698932,0.18614294436896434,0.79672041768721,0.41435185185185186,1.0,0.36690253997226807,0.07791832824822878
0.32,8,512,32,0.03291733059220257,0.07408288113993373,0.12396983345907968,0.8431278185995403,0.59765625,1.0,0.35956389462996846,0.07836023269160586
0.32,10,1000,32,0.019433298290835153,0.052547680403710585,0.0700273267298369,0.8815360461852901,0.633,1.0,0.3589678271852226,0.0750329963548849
0.32,12,1728,32,0.015000227171097455,0.03420434221523409,0.05942600933279509,0.923108074318429,0.658275462962963,1.0,0.36288409552762624,0.07370547520807605
0.32,16,4096,32,0.0066828954651782305,0.0221527268173103,0.036281493978316294,0.9517124375064758,0.6885986328125,1.0,0.36203030571847356,0.07279799313283176
0.45,4,64,32,0.03916652960528476,0.11852261574214275,0.22859435982613563,0.7527598289921864,0.8359375,1.0,0.386471449726975,0.0861050436412934
0.45,6,216,32,0.049579810623095966,0.08825960699044047,0.13492343106503027,0.8124057508051891,0.8842592592592593,1.0,0.36872911271068126,0.08039286190276104
0.45,8,512,32,0.019154621073697132,0.043914536818478775,0.08374478790577632,0.9008999980845437,0.9150390625,1.0,0.3648211554436477,0.0725244233861478
0.45,10,1000,32,0.012551154835598452,0.03204675378748807,0.06844027792862066,0.9266835105341478,0.9225000000000001,1.0,0.3680576864581831,0.07106014975054915
0.45,12,1728,32,0.02034241635602631,0.03363341684960905,0.05190223123270276,0.9221851756079333,0.9296875,1.0,0.3670223965749238,0.07029081466022041
0.45,16,4096,32,0.006039874212355387,0.018882417119295204,0.030719980758110613,0.955557433963441,0.9398193359375,1.0,0.3688373159223295,0.06958154027195462
0.65,4,64,32,0.057654908940594184,0.1029094558814149,0.179740733458217,0.7875773995594928,0.984375,1.0,0.3713366438720002,0.06441190396910117
0.65,6,216,32,0.03879981637126367,0.05660952250930816,0.11136105830905937,0.8766225713328333,0.9907407407407407,1.0,0.3492411319140388,0.07625845984512572
0.65,8,512,32,0.018231430958477547,0.03633242402733205,0.07261974574445793,0.918584129866443,0.9931640625,1.0,0.35293737459315977,0.06920443902672005
0.65,10,1000,32,0.010596479367252424,0.02278150987999706,0.04617084479953001,0.9488918921196711,0.996,1.0,0.3552189100739662,0.06749388098898551
0.65,12,1728,32,0.007806847215454271,0.01716617467581939,0.031651679006141596,0.9591334042219388,0.9959490740740741,1.0,0.35548903338152005,0.06745542533563288
0.65,16,4096,32,0.004052339471323182,0.01539552572864145,0.02178578483129744,0.9653737001651308,0.9959716796875,1.0,0.3577437421988121,0.06596803531706999
