scale,angle_deg,frequency_over_f0,delta_re,delta_im,delta_abs,relative_complex_difference_from_scale1,electrode_mismatch_max
0.75,0.0,0.1,0.00038824012246441164,0.000727602985909283,0.0008247038849158439,0.011398393014168926,9.734098792238675e-05
0.75,0.0,1.0,0.001505758041373484,-5.743874506977664e-05,0.0015068531741998293,0.013634837725778734,0.00023457050163987075
0.75,0.0,10.0,0.0011156623077566152,-6.101421614709032e-05,0.0011173294588083054,0.012998882535258114,0.0003278206130110994
0.75,90.0,0.1,8.77500684839938e-06,8.978214342131481e-06,1.25542454159026e-05,0.1248661369396963,5.890315422794968e-05
0.75,90.0,1.0,5.391042598112961e-06,-4.163855957040226e-06,6.811830644228313e-06,0.228429484148944,0.0001919169348851667
0.75,90.0,10.0,4.269577115079137e-06,-4.4843991313836713e-07,4.293062671019727e-06,0.26142761201922154,0.0002384385770566261
1.0,0.0,0.1,0.0003843079030563523,0.0007191812553737332,0.0008154227384814023,0.0,0.00010035403500849808
1.0,0.0,1.0,0.0014854932892313377,-5.789267566442234e-05,0.001486620958498475,0.0,0.0003143375811144454
1.0,0.0,10.0,0.0011013838479654314,-5.971128208415795e-05,0.0011030012773189679,0.0,0.0003647264274785314
1.0,90.0,0.1,7.930980505943541e-06,7.867610337987125e-06,1.1171380586841466e-05,0.0,0.0002628092012231981
1.0,90.0,1.0,4.200615582983236e-06,-3.697878697595143e-06,5.596380807104672e-06,0.0,0.0007381198915126681
1.0,90.0,10.0,3.3827061075020204e-06,-3.7641350956985845e-07,3.403584542789876e-06,0.0,0.0009369130354146774
1.25,0.0,0.1,0.0003851649279241198,0.0007210700076199636,0.0008174924939055078,0.0025435844425201483,6.972671372917517e-05
1.25,0.0,1.0,0.0014901230863691717,-5.8637505047561336e-05,0.0014912763558537997,0.0031543531438545753,0.00019731887178762848
1.25,0.0,10.0,0.001102547531175474,-6.055833777842215e-05,0.0011042093871977444,0.0013049186275744216,0.00023518927989175166
1.25,90.0,0.1,8.156253224811394e-06,8.157609813549006e-06,1.1535643221656836e-05,0.03287112681552146,2.6571996921804653e-05
1.25,90.0,1.0,4.494386783904236e-06,-3.82228539245761e-06,5.899947303555167e-06,0.05700603811356922,9.820023432710664e-05
1.25,90.0,10.0,3.6013532815348803e-06,-3.9577427827207096e-07,3.6230350174630976e-06,0.06449161941348207,0.0001276912781812704
